1950001 4.01802  -38.6803
1960001 3.99894  -38.7182
1970001 4.02242  -38.7147
1980001 3.99588  -38.6974
1990001 3.94553  -38.7159
2000001 3.96299  -38.7238
2010001 4.01725  -38.7556
2020001 3.98984  -38.7147
2030001 3.9771  -38.7373
2040001 4.04907  -38.7469
2050001 4.01326  -38.744
2060001 3.98691  -38.7372
2070001 4.02694  -38.7299
2080001 4.03558  -38.7327
2090001 4.00113  -38.7361
2100001 4.0209  -38.7356
2110001 3.9713  -38.7204
2120001 4.03568  -38.7559
2130001 3.96908  -38.715
2140001 4.02142  -38.7291
2150001 4.015  -38.7286
2160001 4.00864  -38.7556
2170001 3.99429  -38.7402
2180001 4.00311  -38.7396
2190001 3.98552  -38.7363
2200001 4.00375  -38.7332
2210001 3.99497  -38.7264
2220001 4.03487  -38.7389
2230001 4.01728  -38.7504
2240001 3.95168  -38.7625
2250001 3.99109  -38.7349
2260001 4.03374  -38.7412
2270001 4.05347  -38.719
2280001 4.03254  -38.7451
2290001 4.00189  -38.7252
2300001 4.01107  -38.7427
2310001 3.99342  -38.7301
2320001 4.06332  -38.7467
2330001 4.03118  -38.7135
2340001 4.05914  -38.752
2350001 4.01105  -38.7535
2360001 4.03145  -38.739
2370001 4.09972  -38.7236
2380001 4.04686  -38.7735
2390001 3.99814  -38.7252
2400001 4.03469  -38.7695
2410001 4.05178  -38.7645
2420001 4.03835  -38.7484
2430001 4.10049  -38.7614
2440001 4.08301  -38.7686
2450001 4.12042  -38.7447
2460001 4.05691  -38.7485
2470001 4.022  -38.7476
2480001 4.05851  -38.752
2490001 4.06969  -38.75
2500001 4.0449  -38.7418
2510001 4.01063  -38.7584
2520001 4.08224  -38.7445
2530001 4.00732  -38.743
2540001 4.03121  -38.7583
2550001 4.04701  -38.7463
2560001 4.0198  -38.7632
2570001 4.04165  -38.7803
2580001 4.04516  -38.7562
2590001 4.06568  -38.7459
2600001 4.03071  -38.7624
2610001 3.97757  -38.7582
2620001 4.05441  -38.7534
2630001 4.0452  -38.7375
2640001 4.01768  -38.7329
2650001 3.9965  -38.7458
2660001 4.03804  -38.7525
2670001 4.06282  -38.7532
2680001 4.08326  -38.7662
2690001 4.11537  -38.7512
2700001 3.99214  -38.7367
2710001 3.99643  -38.7527
2720001 4.07711  -38.7465
2730001 4.07439  -38.7409
2740001 4.06234  -38.7615
2750001 3.97087  -38.7606
2760001 4.03444  -38.7657
2770001 4.05591  -38.7458
2780001 4.05224  -38.7735
2790001 3.99438  -38.7473
2800001 4.02687  -38.7592
2810001 4.01111  -38.7427
2820001 4.01626  -38.7458
2830001 4.02829  -38.7501
2840001 4.0188  -38.7642
2850001 4.02957  -38.7729
